Long_Name,Short_Name
Hw_UCRN-2001469-Megaceros_flagellaris;Hw_UCRN-2001470-Megaceros_flagellaris,UCRN-2001469|2001470
Hw_TCBC-2009198-Nothoceros_vincentianus;Hw_TCBC-2009199-Nothoceros_vincentianus;Hw_TCBC-2009200-Nothoceros_vincentianus,TCBC-2009198|2009199|2009200
Hw_ANON-2004213-Leiosporoceros_dussii;Hw_ANON-2004214-Leiosporoceros_dussii,ANON-2004213|2004214
Hw_ANON-2007317-Leiosporoceros_dussii,ANON-2007317
Hw_TCBC-2020852-Nothoceros_vincentianus,TCBC-2020852
Hw_FAJB-2057690-Paraphymatoceros_hallii,FAJB-2057690
Hw_FAJB-2057904-Paraphymatoceros_hallii,FAJB-2057904
Hw_WEEQ-2015151-Phaeoceros_carolinianus,WEEQ-2015151
Hw_WEEQ-2091214-Phaeoceros_carolinianus,WEEQ-2091214
Awallichiana_DN135143_c0_g1_i2.p1,DN135143_c0_g1_i2.p1
Lw_WZYK-2089642-Bazzania_trilobata,WZYK-2089642
Cconicum_DN39801_c0_g1_i1.p1,DN39801_c0_g1_i1.p1
Dhirsuta_DN85617_c0_g1_i5.p1,DN85617_c0_g1_i5.p1
Hmnioides_DN133336_c0_g1_i7.p1,DN133336_c0_g1_i7.p1
Hdicranus_DN151462_c1_g8_i1.p1,DN151462_c1_g8_i1.p1
Hzollingeri_DN230332_c0_g1_i2.p1,DN230332_c0_g1_i2.p1
Ltrichodes_DN48990_c0_g1_i6.p1,DN48990_c0_g1_i6.p1
Ogrosseverrucosum_DN125154_c0_g1_i6.p1,DN125154_c0_g1_i6.p1
Pendiviifolia_DN75156_c0_g2_i5.p1,DN75156_c0_g2_i5.p1
Phirtellus_DN37891_c0_g1_i1.p1,DN37891_c0_g1_i1.p1
Lw_KRUQ-2111290-Porella_navicularis,KRUQ-2111290
Ppulcherrimum_DN189905_c3_g1_i14.p1,DN189905_c3_g1_i14.p1
Pstriatus_DN102851_c0_g1_i2.p1,DN102851_c0_g1_i2.p1
Pstriatus_DN114621_c0_g1_i1.p1,DN114621_c0_g1_i1.p1
Rjaponica_DN146325_c0_g1_i8.p1,DN146325_c0_g1_i8.p1
Rcavernosa_DN133759_c1_g1_i5.p1,DN133759_c1_g1_i5.p1
Tlacunosa_DN34322_c0_g1_i1.p1,DN34322_c0_g1_i1.p1
Hw_ANON-2004213-Leiosporoceros_dussii|Hw_ANON-2004214-Leiosporoceros_dussii,ANON-2004213|2004214
Hw_RXRQ-2022203-Phaeoceros_carolinianus,RXRQ-2022203
Hw_TCBC-2009198-Nothoceros_vincentianus|Hw_TCBC-2009199-Nothoceros_vincentianus|Hw_TCBC-2009200-Nothoceros_vincentianus,TCBC-2009198|2009199|2009200
Hw_WCZB-2120234-Phaeoceros_carolinianus,WCZB-2120234
SmCKI1,Sm111212*
Zygcir1559_1+10969+UTEX1559_05173.1,UTEX1559_05173.1
Zygcir1559_1+24184+UTEX1559_03316.1.v1,UTEX1559_03316.1
Zygcir1559_1+28433+UTEX1559_02640.1.v1,UTEX1559_02640.1
Zygcir1560_1+11478+UTEX1560_05325.1|Zygcir1560_1+29671+UTEX1560_00943.1.v1,UTEX1560_05325.1|UTEX1560_00943.1
Zygcir1560_1+25597+UTEX1560_06431.1.v1,UTEX1560_06431.1
Zygcir1560_1+7704+UTEX1560_16126.1,UTEX1560_16126.1
Zygcir6981b_1+13437+Zci_04774.1,Zygcir6981b_1+Zci_04774.1
Zygcir6981b_1+16566+Zci_14704.5|Zygcir1559_1+7060+UTEX1559_13010.1,Zygcir6981b_1+Zci_14704.5|UTEX1559_13010.1
Zygcir6981b_1+16567+Zci_14704.3,Zygcir6981b_1+Zci_14704.3
Zygcir6981b_1+16568+Zci_14704.1|Zygcir6981b_1+16570+Zci_14704.2,Zygcir6981b_1+Zci_14704.1|14704.2
Zygcir6981b_1+16569+Zci_14704.4,Zygcir6981b_1+Zci_14704.4
Zygcyl6981a_1+46021+Zci1a_27371.1,Zygcyl6981a_1+Zci1a_27371.1
