Gene	Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mp3g11120		481.24320159501	-8.94890732560891	1.33091960349763	-6.72385266705166	1.7698139138702e-11	2.83594244136097e-09
Mp1g00970		75.0793937099792	-6.17795885323619	1.32136057589934	-4.67545268560126	2.93305897614056e-06	0.000124638801740249
Mp5g05730	[MpLTP-like72]: Lipid transfer protein	42.5260733556211	-5.86683809297229	0.993051096178042	-5.90789146253602	3.46514185661022e-09	3.43898562453129e-07
Mp6g11710	[MpMTPSL22]: Secondary metabolism enzyme, Terpene biosynthesis enzymes	62.6112443463371	-5.58628597299829	1.36302083082684	-4.09845972024472	4.15908596498524e-05	0.00121633496956973
Mp7g05920		22.6982897522065	-5.57412654549552	1.25414702252	-4.44455589767716	8.80736076329963e-06	0.000328843763645239
Mp5g09850		808.737958716765	-5.52791541912811	1.1270639721722	-4.90470421876243	9.35682275842196e-07	4.56939696802556e-05
Mp6g02200		4.66683476846507	-5.51299946568332	1.39786047643729	-3.94388392733891	8.01724740244544e-05	0.00209032740325116
Mp6g02670	[MpNAC8]: transcription factor, NAC	16.3948582978748	-5.02289185819402	1.252321856911	-4.01086336589508	6.04971150806577e-05	0.00165004808738609
Mp5g22410		182.816758989165	-4.91624388734125	0.863488056111305	-5.69347063059727	1.24482637229503e-08	1.06384244916747e-06
Mp5g16450		8.74628798208671	-4.73344768774735	1.2854912715095	-3.68220912320085	0.000231221616543113	0.00504522287557831
Mp4g17360		101.561150344637	-4.6046450331583	0.597732620230819	-7.70351972990898	1.32368657639079e-14	4.12315000726326e-12
Mp2g13870		647.91739208613	-3.72084565630861	0.546586003117505	-6.80742945316275	9.93580044601464e-12	1.66133063327221e-09
Mp2g23350		58.3455098912743	-3.06468174273405	0.383985443865294	-7.98124458022209	1.44865092082861e-15	5.43526758905035e-13
Mp4g17380		934.341247413578	-3.04000830156196	0.299394203400311	-10.1538649280302	3.18494620584575e-24	4.89940274845251e-21
Mp4g19890		24.201865153555	-2.95815009238446	0.567616270580873	-5.21153153231005	1.8728800097809e-07	1.09545677530265e-05
Mp5g21140		16.2018960919444	-2.69723774232394	0.75384805643613	-3.5779594034842	0.000346287219565896	0.0069724297101861
Mp5g12230		24.8751260038489	-2.6933434618127	0.437750824637999	-6.15268620919213	7.61814430239315e-10	8.49202273939955e-08
