Gene	Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mp4g19960		476.966265122286	-10.441431217831	1.02880861111053	-10.1490511501067	3.3460069292429e-24	4.59568076719139e-22
Mp2g03650	[MpGH18.3]: Cell wall related protein	154.079390702146	-9.72522613997331	1.34203810296779	-7.24660955487543	4.27333546586846e-13	1.75766629602819e-11
Mp4g19930		1952.03347598457	-9.59438476983828	0.854402994679574	-11.2293435645511	2.92644581772459e-29	6.08344811000775e-27
Mp2g21700		51.0154239317273	-9.36827333057552	1.19327788050917	-7.85087319860325	4.13150517772379e-15	2.17280367491451e-13
Mp5g22410		182.816758989165	-9.22909302944506	1.32942516420421	-6.94216814751625	3.8612721887413e-12	1.37814269325771e-10
Mp3g11120		481.24320159501	-8.85212298585706	0.894699671629488	-9.89396024895703	4.42181262702423e-23	5.53014175947266e-21
Mp3g07970		990.657243067453	-8.79529876452288	0.368300302542157	-23.8807807210968	4.85139644849865e-126	1.4925806313451e-122
Mp4g22850		13.8267020675235	-8.17508997060434	1.23849877612386	-6.60080585318783	4.08928793970459e-11	1.24319202325051e-09
Mp4g22840		7.51854228030085	-8.15151403863836	1.46379870241913	-5.56873976262368	2.56588374240664e-08	4.71745507838062e-07
Mp7g03040		566.659669669	-7.5994689597412	0.425766063900713	-17.8489306783111	2.94623723299586e-71	3.77683061293127e-68
Mp5g09850		808.737958716765	-7.35523142267713	1.27550834858425	-5.76650982397807	8.09299942297397e-09	1.64675410216413e-07
Mp4g16740	[MpPOD49]: Peroxidase	3.89366218299637	-7.2062652835109	1.40081686956769	-5.14433074020222	2.68476183209122e-07	3.95212356584299e-06
Mpzg00770	[MpPR1aa]: Salicylic acid related protein, Hormone related protein	60.6135441283155	-6.84096617968307	0.832384733630732	-8.21851471235404	2.0603896750109e-16	1.22374418419663e-14
Mp2g12490		14.2884682812717	-6.67047390335729	1.25545737601465	-5.31318229578783	1.07727173069327e-07	1.70490442728957e-06
Mp2g13460		28.8449659654771	-6.65874691915501	1.08799910780639	-6.12017681942799	9.34715770555928e-10	2.25019291055741e-08
Mp5g05730	[MpLTP-like72]: Lipid transfer protein	42.5260733556211	-6.50513462707965	0.881791153978529	-7.37718290519168	1.61673834401379e-13	6.92765625235771e-12
Mp4g19890		24.201865153555	-6.33162587668831	0.871150881294877	-7.26811625016897	3.64535028209791e-13	1.5114938919006e-11
Mp3g10040		52.5527754248268	-6.31780262459998	1.36579280352567	-4.6257401622641	3.73263009563479e-06	4.24383213312269e-05
Mp3g21570		24.9099629550232	-6.25867019974584	1.93878854248748	-3.22813450904548	0.00124600370233393	0.00685770123542142
Mp3g12670		2.96709623679479	-6.24769599661345	1.84290897889481	-3.3901272760417	0.000698601810995213	0.00417992674388929
Mp3g22160	[MpCE13.2]: Cell wall related protein	170.462322446719	-6.14866945528544	0.476808246587722	-12.8954763246827	4.77304823845014e-38	2.0395500292244e-35
Mp6g06310		7.32646182126546	-6.1424755411333	1.35300338569345	-4.53988187027716	5.62857538545337e-06	6.09320022198657e-05
Mp8g15470		43.3642912578053	-6.09548861789639	1.27283775895865	-4.78889675843944	1.67700726103584e-06	2.03289225346842e-05
Mp4g01980		3.94070306468342	-6.06619523910075	1.43926984033917	-4.21477270563192	2.50029869973093e-05	0.000231281388442338
Mp1g00970		75.0793937099792	-6.01614485388555	1.19883797516357	-5.01831354905546	5.21270503481626e-07	7.1531705219071e-06
Mp1g07680		29.4350697543456	-5.95287233062665	0.797317900775722	-7.46612151167686	8.25930817976361e-14	3.64048532175655e-12
Mp6g17530		45.6409447246245	-5.90078872203504	1.23265960954459	-4.78703826777863	1.69260569610201e-06	2.04857225988491e-05
Mpzg00760	[MpPR1z]: Salicylic acid related protein, Hormone related protein	44.8209924739063	-5.89773859017112	0.584225549761465	-10.0949686171362	5.81496713047491e-24	7.5806474040759e-22
Mp6g06330	[MpPR1p]: Salicylic acid related protein, Hormone related protein	15.2014491907308	-5.8429020177513	0.941257848459447	-6.20754666461943	5.38181311309197e-10	1.36381508580109e-08
Mp4g01150		20.1877426086589	-5.82536557238175	1.25805116470729	-4.6304679299249	3.64840290238635e-06	4.15113771060719e-05
Mp4g19940		4.30795483258329	-5.8186876527369	1.25562165227056	-4.6341090424929	3.58478012875658e-06	4.08479057190092e-05
Mp8g16650		36.6956633508042	-5.66550073028329	0.645013189454709	-8.7835424498418	1.58405064807562e-18	1.18865615216328e-16
Mp2g26460	[MpLEA-like10]: Late-embryogenesis abundant protein	13.8056297342055	-5.64637140590035	1.8093575488876	-3.12064987341598	0.00180452446213168	0.00929972082037601
Mp6g02670	[MpNAC8]: transcription factor, NAC	16.3948582978748	-5.56813831479335	1.21988806471325	-4.5644665898934	5.00765938603143e-06	5.49449531635673e-05
Mp7g03000	[MpCYP716-like24]: Cytochrome P450, Secondary metabolism enzyme	15.1399795422414	-5.53249853404933	1.51376422920884	-3.65479539501396	0.000257387161819458	0.00176897168588706
Mp3g03550		2.49357603556732	-5.45060933042429	1.72810549113909	-3.15409525539526	0.00160996527052394	0.00845259240835145
Mp8g12160	[MpPR6c]: Pathogen related	14.7366579401112	-5.44757497502696	0.889465535147726	-6.12454868655726	9.09410039910829e-10	2.19959978678432e-08
Mp7g11420		7.18983523008349	-5.3082163727906	1.39040347920011	-3.81775251011625	0.000134672921520911	0.00100615519755035
