"query"	"MpTak_v6.1"
"Mp1g00005a"	"Mp1g00005a"
"Mp1g00010"	"-"
"Mp1g00015a"	"Mp1g00015a"
"Mp1g00015b"	"Mp1g00015b"
"Mp1g00015c"	"Mp1g00015c"
"Mp1g00015d"	"Mp1g00015d"
"Mp1g00020"	"-"
"Mp1g00025a"	"Mp1g00025a"
"Mp1g00025b"	"Mp1g00025b"
"Mp1g00025c"	"Mp1g00025c"
"Mp1g00025d"	"Mp1g00025d"
"Mp1g00025e"	"Mp1g00025e"
"Mp1g00030"	"-"
"Mp1g00035a"	"Mp1g00035a"
"Mp1g00035b"	"Mp1g00035b"
"Mp1g00035c"	"Mp1g00035c"
"Mp1g00035d"	"Mp1g00035d"
"Mp1g00035e"	"Mp1g00035e"
"Mp1g00035f"	"Mp1g00035f"
"Mp1g00035g"	"Mp1g00035g"
"Mp1g00035h"	"Mp1g00035h"
"Mp1g00035i"	"Mp1g00035i"
"Mp1g00035j"	"Mp1g00035j"
"Mp1g00035k"	"Mp1g00035k"
"Mp1g00035l"	"Mp1g00035l"
"Mp1g00035m"	"Mp1g00035m"
"Mp1g00040"	"-"
"Mp1g00045a"	"Mp1g00045a"
"Mp1g00045b"	"Mp1g00045b"
"Mp1g00045c"	"Mp1g00045c"
"Mp1g00045d"	"Mp1g00045d"
"Mp1g00045e"	"Mp1g00045e"
"Mp1g00045f"	"Mp1g00045f"
"Mp1g00045g"	"Mp1g00045g"
"Mp1g00050"	"-"
"Mp1g00055a"	"Mp1g00055a"
"Mp1g00055b"	"Mp1g00055b"
"Mp1g00055c"	"Mp1g00055c"
"Mp1g00055d"	"Mp1g00055d"
"Mp1g00055e"	"Mp1g00055e"
"Mp1g00055f"	"Mp1g00055f"
"Mp1g00055g"	"Mp1g00055g"
"Mp1g00055h"	"Mp1g00055h"
"Mp1g00055i"	"Mp1g00055i"
"Mp1g00055j"	"Mp1g00055j"
"Mp1g00055k"	"Mp1g00055k"
"Mp1g00060"	"-"
"Mp1g00070"	"Mp1g00070"
"Mp1g00080"	"Mp1g00080"
"Mp1g00090"	"Mp1g00090"
"Mp1g00100"	"Mp1g00100"
"Mp1g00110"	"Mp1g00110"
"Mp1g00120"	"Mp1g00120"
"Mp1g00130"	"Mp1g00130"
"Mp1g00140"	"Mp1g00140"
"Mp1g00150"	"-"
"Mp1g00160"	"Mp1g00160"
"Mp1g00170"	"Mp1g00170"
"Mp1g00180"	"Mp1g00180"
"Mp1g00190"	"Mp1g00190"
"Mp1g00200"	"Mp1g00200"
"Mp1g00210"	"Mp1g00210"
"Mp1g00220"	"Mp1g00220"
"Mp1g00230"	"Mp1g00230"
"Mp1g00240"	"Mp1g00240"
"Mp1g00250"	"Mp1g00250"
"Mp1g00260"	"Mp1g00260"
"Mp1g00270"	"Mp1g00270"
"Mp1g00280"	"Mp1g00280"
"Mp1g00290"	"Mp1g00290"
"Mp1g00300"	"Mp1g00300"
"Mp1g00310"	"Mp1g00310"
"Mp1g00320"	"Mp1g00320"
"Mp1g00330"	"Mp1g00330"
"Mp1g00340"	"Mp1g00340"
"Mp1g00350"	"Mp1g00350"
"Mp1g00360"	"Mp1g00360"
"Mp1g00370"	"Mp1g00370"
"Mp1g00380"	"Mp1g00380"
"Mp1g00390"	"Mp1g00390"
"Mp1g00400"	"Mp1g00400"
"Mp1g00410"	"Mp1g00410"
"Mp1g00420"	"Mp1g00420"
"Mp1g00430"	"Mp1g00430"
"Mp1g00440"	"Mp1g00440"
"Mp1g00450"	"Mp1g00450"
"Mp1g00460"	"Mp1g00460"
"Mp1g00470"	"Mp1g00470"
"Mp1g00480"	"Mp1g00480"
"Mp1g00490"	"Mp1g00490"
"Mp1g00500"	"Mp1g00500"
"Mp1g00510"	"Mp1g00510"
"Mp1g00520"	"-"
"Mp1g00530"	"Mp1g00530"
"Mp1g00540"	"Mp1g00540"
"Mp1g00550"	"Mp1g00550"
"Mp1g00560"	"Mp1g00560"
