UniqueCount	AmbigCount
403	2
9636	132
0	528
1	528
0	443
5	463
0	459
7	549
881	31
351	7
678	4
1	0
0	2453
326	2457
46	762
125	763
150	135
2	95
14	204
892	9
0	0
1479	24
924	55
2023	32
7	0
2562	30
9	1
697	18
5	0
272	6
2	0
192	4
35	936
4	942
47	945
206	12
0	664
8	679
0	638
0	623
3	0
1458	20
661	9
1100	15
10	0
1052	17
136	4
840	14
634	15
854	13
0	0
0	0
4	0
2464	41
2519	31
1	0
205	1
717	9
2811	34
647	10
865	15
251	1513
195	1509
0	0
2	4
226	5
4	0
247	1750
89	1745
98	3
162	779
1	780
9	780
344	4
0	0
1245	16
2574	32
268	0
311	992
18	991
398	4
143	4
4	0
5	1
2	0
0	607
0	729
0	550
0	786
0	0
1	0
1	0
1047	7
5169	68
2269	31
0	1742
0	1716
0	1682
0	1776
139	2736
32	2818
67	2583
0	0
804	8
3	0
164	906
134	900
1377	18124
162	17999
38	18106
857	10
1035	17
0	0
0	0
841	10
259	5
0	0
0	0
1091	19
0	12
0	9
0	12
0	12
564	7
60	686
0	698
9	629
27	549
85	550
26	1846
67	1847
46	0
0	0
0	0
899	11
1182	14
351	5
225	0
3	1
0	4349
55	4331
3	4200
662	11
1273	9
1	0
0	0
0	0
0	15
0	15
0	0
10	54
14	54
4975	67
30629	415
0	4
0	4
141	0
344	9
599	4
285	64
29	351
20	351
64	1983
12	1983
875	8
948	8
0	0
2041	25
48	2
976	16
42	0
270	2
0	727
0	740
0	721
0	708
0	727
0	739
0	707
0	726
0	720
0	721
0	740
0	718
0	700
0	686
0	716
0	698
0	708
648	8
29	2521
220	2520
3	0
408	382
5	378
1571	9
0	0
19	1439
29	1439
21	479
20	490
0	490
0	388
0	388
0	336
448	5
2	0
0	0
29	1466
254	1467
216	3
1052	8
141	1134
55	1134
1707	27
1270	32
17	550
48	549
5	423
0	0
600	70
2287	33
228	3
322	6
1443	22
6002	95
824	4082
44	4076
1390	18
1222	14
507	7
0	0
0	0
0	0
0	0
0	0
335	3
75	1
1498	22
0	0
138	1
466	5
70	767
4	752
117	770
168	2
1152	14
19	602
6	601
1710	20
1295	8
2	0
590	10
2	5
0	0
2540	40
2250	31
39	0
26	1222
137	1224
40	0
3092	38
1	101
10	101
0	1387
0	1334
0	1334
0	1334
0	1348
1	1652
0	1691
24	1985
0	1985
361	8
85	1305
36	1302
621	9
29	156
313	165
428	35
0	41
2	8
13	0
107	478
22	478
1614	25
837	863
317	11
2	4809
0	0
889	1014
304	150
1766	31
959	18
1343	14
871	12
26	616
23	616
3486	61
108	1
678	14
457	9
4964	65
0	0
0	0
1118	11
0	0
2	0
88	6019
148	6087
111	6074
693	3
13	840
2	674
63	765
592	3
16	0
4	0
33	0
0	1
0	0
98	3757
6	3734
1	3871
3168	74
34	0
1	1
11	0
0	0
3	9
6	9
0	37
2	0
776	7
91	11312
0	11665
1	11665
101	0
495	8
231	3
960	10
2963	29
1527	19
430	6
307	7
738	9
10	218
12	218
0	199
49	169
1043	12
0	0
2	404
159	405
2203	26
694	6
191	0
573	9
2533	34
1126	15
0	0
11	708
29	709
731	15
304	1012
15	1004
0	1
0	1
318	3
10	619
13	619
1355	14
1	0
7	628
65	628
55	1161
17	1035
292	162
206	525
99	526
120	0
0	276
0	214
0	216
0	274
101	0
13	0
2	2
0	2
112	2489
482	2493
54	2485
636	8
0	0
60	0
265	4
80	479
0	465
0	476
3144	34
85	1391
621	1400
1	2
316	12
187	97
692	110
89	485
17	485
114	996
30	995
672	7
1430	12
1734	34
14	285
0	285
2	60
0	60
51	2
154	4954
38	4951
248	6
178	2
12	0
4	0
652	4
2140	13
0	0
0	0
0	0
937	10
1416	21
2298	36
902	10
6538	81
0	17
0	26
0	17
0	26
7858	85
2233	26
0	0
0	0
0	11
0	10
0	11
0	10
1074	9
31	0
1365	11
829	12
27	482
0	398
0	415
424	5
0	0
3	45
743	56
0	1017
81	1017
3673	52
1	0
0	1928
95	1782
0	1886
2477	31
1829	40
4	21
363	9
842	10
8189	103
39	1
384	5
999	4
8163	106
616	7
1189	16
18	1
120	0
1338	10
0	0
54	1
1886	18
3560	59
0	0
86	2
148	678
9	848
120	655
9	0
14	0
41	0
38	31
20	336
4	335
3	327
328	724
0	719
4	684
52	693
1	717
17	0
232	5
