UniqueCount	AmbigCount
125	0
1276	0
0	192
1	191
0	180
0	182
0	210
0	222
351	17
156	0
186	0
0	0
0	1041
39	1041
32	282
20	282
155	0
0	80
0	80
441	0
0	0
617	9
408	38
912	0
45	0
1678	0
0	0
107	0
0	0
82	0
0	0
13	0
3	238
0	237
6	238
89	0
0	362
0	364
0	352
0	350
0	0
112	0
350	0
692	0
4	0
584	0
116	0
411	0
211	0
282	0
0	0
0	0
1	0
636	0
305	0
0	0
147	0
228	0
567	0
207	0
293	0
31	626
13	626
0	0
0	0
40	0
0	0
40	229
0	229
61	0
86	224
0	228
10	228
202	0
1	0
235	0
987	0
366	0
52	604
1	604
146	0
92	0
15	0
9	0
0	0
0	134
0	156
0	115
0	174
0	0
0	0
1	0
501	0
1709	0
696	0
0	738
0	738
0	732
0	744
34	1186
3	1190
52	1156
0	0
341	0
8	1
68	318
12	318
193	10753
13	10721
61	10756
513	0
542	0
0	0
0	0
374	0
0	0
0	0
0	0
293	0
0	45
0	25
0	45
0	45
169	0
6	216
0	217
1	198
3	268
6	268
0	267
1	267
1	0
0	0
0	0
341	0
396	0
210	0
81	0
2	0
0	589
8	588
0	563
247	0
354	0
0	0
0	0
0	0
3	49
0	49
1	0
1	3
1	3
1652	0
4706	0
0	0
0	0
104	0
186	0
270	0
104	92
6	136
4	136
7	475
0	475
233	0
342	0
0	0
2031	0
25	2
456	0
36	0
112	0
0	279
0	263
0	259
0	276
0	280
0	266
0	278
0	282
0	262
0	260
0	264
0	273
0	269
0	241
0	272
0	268
0	275
257	0
2	873
15	873
0	0
184	1
5	1
37	0
0	0
6	459
7	459
4	381
4	386
0	386
0	341
0	341
0	291
245	0
2	0
1	0
16	727
253	727
125	0
408	0
24	284
3	284
443	0
270	0
4	227
3	227
1	198
0	0
316	85
815	0
130	0
168	0
359	0
1557	0
219	2022
15	2022
607	0
229	0
78	0
0	1
0	1
0	0
0	0
0	0
233	0
97	0
583	0
0	0
75	0
203	0
5	392
0	381
29	392
98	0
548	0
2	271
1	271
1054	0
159	0
1	0
226	0
0	0
0	0
1069	0
766	0
7	0
6	935
27	935
0	0
956	0
0	54
8	54
0	355
0	333
0	333
0	333
0	342
2	551
0	564
2	908
0	908
149	0
2	310
2	310
472	0
29	0
193	0
161	0
0	16
2	16
1	0
19	9434
255	9434
245	0
275	352
88	0
1	4228
39	0
357	354
214	2
752	0
594	0
379	0
171	0
2	469
5	469
1173	0
13	0
180	0
317	0
842	0
0	0
0	0
516	0
0	0
0	0
3	1815
42	1826
7	1826
425	0
0	377
1	353
26	349
427	0
2	0
1	0
4	0
0	0
0	0
18	1278
2	1187
0	1290
839	142
1	0
0	0
0	0
0	0
0	0
0	0
2	142
0	0
460	0
3	2820
0	2832
0	2832
30	0
175	0
105	0
569	0
453	0
449	0
177	0
102	0
387	0
1	176
12	176
0	157
19	117
462	0
0	0
0	261
26	261
520	0
332	0
175	0
188	0
584	0
