UniqueCount	AmbigCount
112	0
3349	0
0	175
2	175
0	167
3	171
0	184
0	192
335	25
131	0
230	0
0	0
0	810
49	810
16	367
33	367
161	0
0	26
0	26
267	0
0	0
504	10
394	34
1055	0
9	0
1964	0
0	0
205	0
1	0
95	0
1	0
93	0
9	355
0	360
7	360
51	0
0	231
0	234
0	220
0	217
0	0
426	0
223	0
449	0
5	0
390	0
44	0
268	0
216	0
254	0
0	0
1	0
2	0
1056	0
1023	0
0	0
73	0
258	0
570	0
241	0
455	0
24	642
21	642
0	0
0	0
51	0
0	0
61	431
14	431
50	0
43	270
0	270
3	270
95	0
2	0
329	0
951	0
222	0
42	534
0	534
162	0
41	0
7	0
5	0
2	0
0	152
0	178
0	132
0	197
0	0
1	0
1	0
261	0
2314	0
699	0
0	634
0	630
0	621
0	643
24	821
6	831
20	797
0	0
307	0
2	0
77	319
7	319
161	8985
44	8938
80	8985
372	0
318	0
0	0
0	0
335	0
2	0
0	0
0	0
346	0
0	0
0	0
0	0
0	0
203	0
17	285
0	287
0	270
3	206
4	206
3	622
3	622
6	0
0	0
0	0
259	0
402	0
128	0
51	0
0	0
0	1933
30	1930
2	1896
316	0
582	0
0	0
0	0
0	0
1	12
0	12
0	0
4	26
3	26
1562	0
10957	0
0	0
0	0
61	0
141	0
165	0
79	133
2	81
4	81
12	662
0	662
405	0
329	0
0	0
1080	0
13	6
300	0
8	0
94	0
0	182
0	182
0	181
0	183
0	184
0	184
0	183
0	184
0	183
0	183
0	184
0	178
0	177
0	173
0	177
0	176
0	181
200	0
4	984
20	984
0	0
307	2
5	2
546	0
0	0
8	575
4	575
4	143
4	151
0	151
0	122
0	122
0	110
224	0
0	0
0	0
12	625
89	625
61	0
389	0
21	290
16	290
626	0
378	0
4	264
3	264
2	213
0	0
209	46
1069	0
68	0
109	0
474	0
1730	0
115	1424
8	1424
510	0
350	0
92	0
0	0
0	0
0	0
1	0
0	0
110	0
32	0
502	0
0	0
36	0
156	0
9	282
0	270
14	282
90	0
337	0
5	190
0	190
677	0
262	0
0	0
221	0
0	0
0	0
941	0
657	0
7	0
1	462
30	462
0	0
1333	0
0	35
4	35
0	517
0	481
0	481
0	481
0	486
0	614
0	645
3	506
0	506
139	0
19	509
0	509
274	0
2	0
123	0
141	0
0	12
0	12
0	0
50	8507
238	8507
710	0
187	363
137	1
0	2724
7	0
213	363
109	0
539	0
531	0
468	0
353	0
1	217
0	217
1132	0
40	0
304	0
175	0
1805	0
0	0
0	0
384	0
0	0
1	0
11	1738
68	1755
4	1755
181	0
0	315
1	280
22	291
192	0
3	0
1	0
7	0
0	0
0	0
8	1303
1	1269
0	1319
1184	101
1	1
0	0
0	1
0	2
0	0
0	0
0	101
1	0
315	0
21	4974
0	5018
0	5018
34	0
198	0
93	0
440	0
969	0
525	0
139	0
136	0
234	0
0	66
1	65
0	59
24	49
383	0
1	0
0	175
14	175
701	0
224	0
51	0
220	0
1115	0
440	0
0	0
2	246
2	246
229	0
123	400
3	400
0	1
0	1
113	0
0	189
1	189
619	0
1	0
3	202
8	202
16	698
4	567
312	175
62	204
20	204
52	0
0	96
0	87
0	86
0	97
46	0
16	0
0	1
0	1
18	1193
148	1192
5	1191
235	0
0	0
14	0
70	0
17	165
0	159
0	165
1253	0
16	664
329	664
0	0
163	0
63	0
291	0
18	215
4	215
17	462
5	462
229	0
514	0
565	0
2	75
0	75
0	7
0	7
12	0
25	1085
1	1085
34	0
50	0
5	0
0	0
221	0
673	0
0	0
0	0
0	0
426	0
545	0
1146	0
319	0
2351	0
0	28
0	33
0	29
0	34
2578	0
839	0
0	0
0	0
0	8
0	7
0	8
0	7
339	0
12	0
382	0
377	0
0	169
0	133
0	154
138	0
1	0
0	0
268	0
0	347
32	347
549	0
0	0
0	527
15	490
0	515
1026	0
770	0
0	0
131	0
317	0
2272	0
55	0
128	0
448	0
2024	0
274	0
509	0
0	0
57	0
407	0
0	0
17	0
791	0
1594	0
0	0
10	6
56	643
0	731
54	662
6	0
2	0
9	0
16	0
3	100
0	100
0	100
136	196
0	196
1	256
13	280
0	287
3	0
103	0
368	0
10028	0
0	0
2	0
550	0
530	0
744	0
0	0
162	0
2	0
1203	0
2533	0
43	895
5	895
164	0
3409	0
140	0
3832	0
825	0
0	1286
19	1286
427	0
0	0
0	0
490	0
0	0
4	0
14	1576
1	1576
221	0
0	23
0	23
0	21
0	49
0	49
0	49
0	49
2	49
113	0
16	0
15818	0
4795	0
0	1037
213	1037
391	0
1858	0
583	0
246	0
179	0
904	0
796	0
98	0
324	0
17	232
0	231
0	232
1	868
158	791
41	867
0	228
23	228
1	228
100	0
360	0
466	0
18	0
3	359
12	359
11	615
4	615
30	169
1	169
0	0
399	0
75	0
0	0
764	0
1046	0
1314	0
321	0
324	0
0	233
6	233
376	0
1047	0
197	0
9932	0
337	0
217	0
532	0
0	0
0	19
56	485
19	485
245	0
123	0
12	0
50	0
130	0
26	0
8	0
119	0
2	0
213	0
161	2
1	2
161	0
2182	0
3801	0
715	0
597	0
664	0
0	240
1	211
19	229
137	0
351	0
680	0
1811	0
708	0
4	0
112	0
3051	0
0	0
91	9
0	0
1	0
5	155
1	151
228	0
0	0
0	0
387	0
63	155
0	0
588	151
185	0
42	56
150	66
0	0
144	0
420	0
539	6
332	0
57	0
9	0
1	0
48	0
260	398
378	461
0	0
62	270
9	0
3	0
2035	0
15	0
219	0
3	211
1	216
42	164
0	1
0	1
598	0
0	223
0	237
0	224
0	239
0	226
0	236
0	227
0	231
0	233
2	237
7	237
10	42
0	42
1981	0
616	0
137	0
2	227
7	227
16	676
1	676
0	0
0	0
633	0
191	0
1	461
0	431
1	425
0	463
2	439
976	0
0	0
181	0
5896	0
643	0
1	448
0	448
0	0
24	210
3	210
6	352
1	352
542	0
59	1876
60	1876
438	0
5	897
0	891
0	895
343	0
46	1282
49	1260
26	979
276	0
840	0
0	0
0	0
261	0
2	120
5	120
116	0
207	0
494	0
686	0
1300	0
1215	0
161	0
712	0
1	0
1809	0
6	175
2	175
162	0
0	0
1	0
201	0
335	0
4	0
10	512
89	512
31	0
0	0
0	2365
0	2226
0	2214
0	2075
34	0
86	29
0	29
249	0
858	0
178	0
0	0
436	0
0	1299
0	1152
0	1153
0	1300
0	506
0	478
0	497
0	469
338	0
144	0
464	0
208	0
414	0
1409	0
194	0
1	0
0	0
9	839
77	839
207	0
376	0
118	0
403	0
1	296
7	296
19	54
3	54
812	0
457	0
2087	3385
126	0
105	0
11	200
0	200
215	0
149	0
2	0
152	0
0	0
5661	0
5883	0
50	449
3	449
116	0
148	0
15	189
1	189
0	194
0	202
0	201
0	202
0	193
2	72
0	72
7	308
13	308
0	0
0	0
2203	0
0	0
0	0
0	5
0	5
0	264
0	265
0	263
0	262
0	262
0	264
0	262
135	0
0	0
0	0
1106	0
627	10
1	376
0	339
0	354
0	381
224	0
7223	0
291	0
0	174
71	174
1285	0
0	222
2	222
6	1348
103	1348
1244	0
65	572
0	572
252	0
403	0
196	0
367	0
221	0
794	0
842	0
5	0
6	0
4	116
0	116
112	0
104	0
82	0
56	0
17	748
1	748
0	0
1	24
0	24
0	24
91	0
13	0
83	0
1	23
0	23
0	70
0	70
195	0
607	0
220	0
308	0
1018	0
1265	0
489	0
1276	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
926	0
4	80
1	80
0	0
3	0
1	0
1030	0
308	1814
13	1814
107	1343
35	1343
682	0
0	0
0	0
14	0
1079	0
4210	3385
133	0
413	0
5115	0
7	628
24	628
167	0
332	0
86	0
437	0
622	0
0	158
4	158
205	0
1	0
0	0
4053	0
83	0
716	0
0	0
863	0
219	0
10	0
1254	0
452	0
27	828
0	819
4	814
465	0
246	193
0	199
2	138
0	142
0	0
0	0
3891	0
226	0
0	0
877	0
522	0
0	0
268	0
288	0
3125	0
72	6
7	135
1	62
1	0
5	0
2	109
0	100
59	95
23	0
96	0
2248	0
7	0
0	1
2	1
0	1
38	323
0	323
0	0
154	0
15	0
1	1
0	1
13	42
0	42
628	0
555	0
3550	0
154	0
829	0
1	3
106	0
2	3
157	1
118	0
0	446
0	440
0	418
0	424
0	420
0	425
306	0
916	0
2404	0
0	240
0	213
0	224
0	251
1031	0
18	0
5	0
1	159
0	159
0	0
1	0
512	0
0	0
440	0
455	0
381	0
297	0
245	0
5	0
119	0
3	382
10	382
35	188
49	188
0	0
0	0
25	0
0	0
0	0
41	0
169	0
96	0
0	0
0	0
21	659
3	659
7	659
74	0
1860	0
15	2
0	2
0	0
85	0
54	22
0	10
0	5
0	6
0	0
0	0
0	0
0	0
73	0
66	0
0	1932
135	1932
622	0
1646	0
216	0
199	0
2	0
22	0
233	0
6	106
3	106
50	0
7	267
12	267
196	0
0	0
971	0
46	0
277	0
7	187
0	187
140	0
0	0
695	0
216	0
304	0
0	0
326	0
449	0
0	0
5	81
1	81
1854	0
17	0
1	0
425	0
485	0
0	0
397	1
186	0
240	0
1103	0
0	0
0	0
375	0
284	637
0	637
630	0
2	436
6	436
173	4
11	0
2	254
0	254
9	0
11	0
211	0
346	0
0	1
203	0
6	0
15	838
7	838
1	286
0	286
0	0
260	0
181	0
134	0
573	0
7	0
944	0
0	0
7	17
111	0
3	30
0	2
0	0
47	1
559	24
56	0
807	0
4	0
3	167
0	167
379	0
479	0
213	0
1	193
0	193
276	0
96	0
0	2
548	0
575	0
0	148
0	148
133	0
13	0
3	0
9	0
118	0
0	0
211	0
0	388
41	388
156	0
114	247
0	247
807	0
394	0
457	0
53	0
149	0
59	0
13	33
1	33
0	0
61	0
247	0
186	0
24	0
15	0
60	494
0	494
0	0
0	0
0	0
1	0
354	0
0	27
4	27
2233	0
266	0
2	64
0	64
63	0
305	0
2	0
2	0
51	0
88	0
0	13
0	0
210	164
246	165
3	193
11	149
0	0
3	274
14	256
12	569
17	569
7	638
4	638
116	0
105	0
9	0
0	106
4	106
3	364
3	364
67	0
2	0
0	88
18	88
243	0
0	1
0	1
0	1
12	422
10	422
260	0
2016	0
97	0
367	0
208	0
3	0
5	511
75	511
63	223
3	223
1	221
334	0
13	0
13	692
0	692
0	0
0	0
4	0
453	0
257	0
0	0
0	0
2	0
4	1162
0	1227
11	1028
319	0
1252	0
0	0
32	207
0	207
199	0
384	12
112	12
915	1
130	1
125	0
39	1347
10	1347
1	0
218	0
1	0
38	0
2	100
5	100
306	0
636	0
0	0
129	352
2	352
5	258
104	7374
44	7374
9	278
1	278
152	0
49	0
17	118
1	118
123	0
7	320
0	320
17	971
4	971
603	0
0	44
0	44
0	41
0	41
106	0
0	0
0	90
5	90
1	0
0	0
47	16
312	0
0	0
35	0
5	672
1	669
267	673
2	0
1679	0
105	1
257	0
6	94
3	94
104	283
7	283
19	0
33	0
877	0
197	0
150	0
0	0
707	0
45	303
0	303
1415	0
28	0
0	0
14	0
0	0
6	0
2248	0
604	0
54	0
306	51
215	0
24	0
5204	0
3818	0
5	0
27	0
632	0
8	99
1224	0
16	476
18	476
739	0
0	0
620	0
569	0
326	0
209	0
194	2
0	2
245	0
0	0
1125	0
0	0
478	0
672	0
19	347
2	347
1051	0
2	0
33	272
3	272
0	0
679	0
480	0
1745	0
912	0
1354	0
0	108
0	118
0	118
2	118
25	0
0	0
166	0
111	214
82	214
16	360
0	360
128	0
643	0
0	0
0	2
733	2
191	0
1086	0
1023	0
0	301
0	315
0	184
0	170
0	0
3665	0
1319	0
52	181
1	181
479	0
28	256
5	256
1370	5
2	5
1	0
202	0
0	0
441	0
807	0
923	0
0	83
2	83
0	0
100	0
1743	0
16	102
0	102
0	82
1	0
1	0
210	0
0	0
124	0
81	0
0	0
20	307
27	307
213	0
3	5486
1047	5486
127	0
247	0
0	0
919	0
2	116
0	116
109	0
0	0
599	0
216	0
206	0
72	551
5	551
421	0
426	0
3	68
11	68
464	0
1221	0
0	0
0	0
5	589
12	589
12	0
491	4336
0	4336
459	0
375	0
0	0
22	303
5	303
52	549
5	549
314	0
1	0
1571	0
1	0
2281	6704
0	6704
150	0
1086	0
154	0
0	33
1	33
109	0
0	0
365	0
15	173
0	173
2	0
491	0
1	0
10	133
37	133
5	0
1	2065
7	2064
245	2066
4	299
11	299
0	270
4	251
0	273
0	0
132	4038
40	4038
0	0
96	0
318	0
452	0
438	0
4	0
3	0
7	559
0	559
13	546
4	1191
3	1209
0	1226
690	0
18	0
0	282
0	254
