UniqueCount	AmbigCount
87	0
1312	0
0	181
0	180
0	170
1	174
0	187
0	198
353	11
118	0
182	0
0	0
0	986
54	986
23	192
23	192
121	0
1	86
5	86
396	0
0	0
551	12
384	31
909	0
22	0
1611	0
0	0
136	0
1	0
83	0
0	0
16	0
6	236
0	239
4	239
76	0
0	254
1	255
0	247
0	246
1	0
53	0
364	0
708	0
1	0
525	0
113	0
377	0
201	0
240	0
1	0
0	0
0	0
648	0
379	0
0	0
125	0
226	0
461	0
175	0
311	0
23	510
19	510
0	0
0	0
74	0
0	0
73	303
1	303
59	0
61	183
0	183
7	183
145	0
3	0
209	0
755	0
99	0
56	583
0	583
119	0
68	0
13	0
8	0
2	0
0	68
0	82
0	61
0	89
0	0
0	0
4	0
482	0
1698	0
609	0
0	735
0	731
0	725
0	741
53	1125
6	1128
48	1091
1	1
369	1
7	0
85	285
13	285
189	9097
13	9055
61	9100
452	0
471	0
0	0
0	0
281	0
5	0
0	0
0	0
276	0
0	26
0	20
0	26
0	26
174	0
9	173
0	173
1	161
1	234
3	234
1	275
1	275
3	0
0	0
1	0
331	0
416	0
196	0
71	0
0	0
0	764
12	764
1	738
216	0
420	0
0	0
0	2
0	2
0	47
1	47
3	0
1	7
1	7
1829	0
4006	0
0	0
8	0
91	0
158	0
241	0
85	88
1	148
3	148
11	520
2	520
233	0
279	0
0	0
1476	0
15	3
398	0
25	0
96	0
0	247
0	249
0	245
0	244
0	248
0	250
0	244
0	248
0	246
0	246
0	250
0	239
0	235
0	223
0	239
0	235
0	243
246	0
4	870
16	870
0	0
157	1
5	1
66	0
2	0
6	453
6	453
3	257
6	266
0	266
0	227
0	227
0	197
248	0
1	0
0	0
15	721
168	721
120	0
435	0
24	258
6	258
424	0
238	0
6	243
3	243
2	213
0	0
300	71
677	0
119	0
144	0
352	0
1445	0
196	1883
13	1883
547	0
207	0
86	0
0	0
0	0
1	0
2	0
0	0
205	0
80	0
478	0
0	0
54	0
192	0
8	250
0	241
18	250
43	0
403	0
3	271
3	271
871	0
120	0
2	0
255	0
0	0
0	0
957	0
770	0
4	0
8	787
34	787
0	0
972	0
0	59
0	59
0	370
0	349
0	349
0	349
0	364
2	493
0	499
4	827
0	827
