UniqueCount	AmbigCount
104	0
3536	0
0	178
0	178
0	163
1	172
0	180
0	195
369	10
150	0
253	0
1	0
0	784
34	784
13	338
25	338
150	1
0	44
1	44
323	0
0	0
474	11
341	20
1012	0
11	0
1790	0
2	0
252	0
1	0
91	0
1	0
34	0
8	373
0	377
4	378
63	1
0	304
0	304
0	284
0	284
0	0
482	0
210	0
519	0
4	0
398	0
67	0
286	0
189	0
224	0
0	0
0	0
0	0
1127	0
986	0
0	0
59	0
219	0
584	0
242	0
387	0
15	554
21	554
0	0
0	1
45	1
0	0
53	390
13	390
54	0
49	222
0	222
3	222
116	0
1	0
371	0
1063	0
260	0
39	497
0	497
125	0
56	0
9	0
9	0
2	0
0	128
0	170
0	114
0	184
0	0
0	0
2	0
277	0
2071	0
677	0
0	581
0	584
0	577
0	588
36	798
12	809
26	782
0	1
301	1
1	0
73	355
19	355
184	8552
18	8509
42	8552
402	0
347	0
0	0
0	0
286	0
50	0
0	0
0	0
340	0
0	0
0	0
0	0
0	0
199	0
16	255
0	256
0	242
4	201
6	201
2	512
3	512
5	0
0	0
0	0
282	0
413	0
141	0
58	0
2	0
0	1495
26	1489
4	1457
284	0
479	0
0	0
0	0
0	0
0	9
0	9
2	0
2	18
5	18
1583	0
10226	0
0	0
1	0
67	0
133	0
166	0
74	138
1	91
3	91
9	558
0	558
414	0
297	0
0	0
1384	0
9	1
333	0
13	0
82	0
0	228
0	224
0	220
0	224
0	228
0	224
0	224
0	228
0	220
0	220
0	224
0	224
0	220
0	210
0	225
0	221
0	224
231	0
5	1015
20	1015
0	0
204	2
2	2
168	0
0	0
2	564
2	564
6	164
5	169
0	169
0	135
0	135
0	123
229	0
0	0
0	0
20	618
120	618
58	0
589	0
24	298
7	298
543	0
464	0
1	267
3	267
2	231
0	0
227	37
1021	0
73	0
86	0
412	0
1782	0
139	1581
11	1581
429	0
314	0
105	0
0	0
0	0
0	0
1	0
0	0
130	0
28	0
513	0
0	0
32	0
172	0
8	259
1	252
12	259
72	0
369	0
6	176
1	176
859	0
325	0
1	0
245	0
0	0
0	0
940	0
700	0
8	0
0	501
26	501
0	0
1146	0
0	43
1	43
0	375
0	360
0	360
0	360
0	362
0	456
0	469
2	683
0	683
143	0
22	514
2	514
252	0
14	0
132	0
159	0
0	7
1	7
0	0
20	269
1	269
583	0
216	390
107	1
0	2660
5	0
222	391
121	1
517	0
523	0
556	0
424	0
5	207
1	207
1055	0
23	0
182	0
191	0
1733	0
0	0
0	0
382	0
0	0
0	0
4	1707
63	1724
8	1724
215	0
0	260
1	227
10	252
194	0
1	0
0	0
13	0
0	0
0	0
9	1237
3	1202
0	1248
1041	115
0	0
0	0
0	0
0	1
0	1
0	1
0	115
0	0
313	0
27	5052
0	5098
2	5098
32	0
174	0
77	0
427	0
1056	0
510	0
128	0
108	0
222	0
0	101
1	101
0	95
15	75
365	0
0	0
1	164
12	164
686	0
269	0
62	0
227	0
885	0
703	0
0	0
2	275
2	275
234	0
106	310
4	310
0	2
0	2
132	0
0	259
1	259
895	0
1	0
4	210
3	210
10	728
4	598
167	175
38	198
21	198
51	0
0	121
0	113
0	110
0	124
8	0
30	0
1	0
0	0
19	1156
112	1156
4	1154
199	0
0	0
21	0
90	0
21	166
0	161
0	166
1177	0
19	598
279	598
0	0
169	0
60	0
281	0
22	204
4	204
26	436
7	436
239	0
490	0
518	0
1	85
0	85
0	19
0	19
26	0
14	923
1	923
48	0
51	0
4	0
1	0
197	0
700	0
0	0
0	0
0	0
394	0
553	0
1065	0
358	0
2388	0
0	20
0	22
0	20
0	22
2657	0
871	0
0	0
0	0
0	5
0	5
0	5
0	5
349	0
13	0
397	0
419	0
0	189
0	154
0	167
161	0
1	0
0	0
294	0
0	407
41	407
797	0
0	0
0	616
13	582
0	594
954	0
785	0
0	0
142	0
341	0
2384	0
22	0
145	0
477	0
2006	0
326	0
392	0
0	0
59	0
451	0
0	0
12	0
736	0
1400	0
0	0
12	2
36	287
0	311
11	276
1	0
6	0
8	0
21	0
3	87
1	87
0	86
111	220
0	220
3	266
12	285
0	288
11	0
98	0
371	0
10518	0
0	0
5	0
571	0
483	0
782	0
0	0
150	0
0	0
1377	0
1167	0
39	940
5	940
166	0
3659	0
180	0
3953	0
827	0
2	1268
15	1268
341	0
1	0
0	0
584	0
0	0
2	0
16	1669
2	1669
235	0
0	25
0	25
0	25
0	46
0	49
0	49
0	46
3	48
97	0
10	0
13642	0
4424	0
0	952
214	952
396	0
1817	0
571	0
237	0
164	0
894	0
747	0
86	0
347	0
21	299
0	297
0	299
0	876
143	803
55	873
0	203
21	203
0	203
85	0
278	0
408	0
23	0
0	331
10	331
19	727
9	727
38	167
3	167
1	0
464	0
81	0
1	0
789	0
1255	0
1291	0
327	0
296	0
4	257
12	257
333	0
972	0
193	0
9076	0
301	0
213	0
474	0
0	0
0	11
34	419
38	419
249	0
167	0
18	0
48	0
106	0
21	0
4	0
166	0
2	0
219	0
155	0
0	0
151	0
2080	0
3673	0
714	0
674	0
744	0
0	263
1	234
17	247
131	0
399	0
703	0
1338	0
545	0
2	0
237	0
3018	0
0	0
66	15
0	0
0	0
6	154
0	159
189	0
0	0
