"Tag"	"No."	"Gene"	"Name"	"GeneName"	"annots"
"Mprrb_Veg.Up"	1	"Mp1g00440"	""	""	"[PTHR47830]: OS11G0534100 PROTEIN;
[PTHR47830:SF1]: OS11G0534100 PROTEIN;
[PF04819]: Family of unknown function (DUF716)"
"Mprrb_Veg.Up"	2	"Mp1g01040"	""	""	"[K05387]: GRIP; glutamate receptor, ionotropic, plant;
[KOG1052]: Glutamate-gated kainate-type ion channel receptor subunit GluR5 and related subunits; [PET];
[PTHR18966:SF487]: GLUTAMATE RECEPTOR 3.4;
[PTHR18966]: IONOTROPIC GLUTAMATE RECEPTOR;
[PF00497]: Bacterial extracellular solute-binding proteins, family 3;
[PF01094]: Receptor family ligand binding region;
[PF00060]: Ligand-gated ion channel"
"Mprrb_Veg.Up"	3	"Mp1g01110"	"MpBHLH33"	"Mp1g01110 [MpBHLH33]"	"[PTHR16223:SF9]: TRANSCRIPTION FACTOR BHLH83-RELATED;
[PTHR16223]: TRANSCRIPTION FACTOR BHLH83-RELATED;
[PF00010]: Helix-loop-helix DNA-binding domain"
"Mprrb_Veg.Up"	4	"Mp1g02200"	""	""	"[K01507]: ppa; inorganic pyrophosphatase [EC:3.6.1.1];
[KOG1626]: Inorganic pyrophosphatase/Nucleosome remodeling factor, subunit NURF38; [C];
[PTHR10286:SF68]: BNAC07G03580D PROTEIN;
[PTHR10286]: INORGANIC PYROPHOSPHATASE;
[PF00719]: Inorganic pyrophosphatase"
"Mprrb_Veg.Up"	5	"Mp1g02270"	""	""	"[K00899]: mtnK; 5-methylthioribose kinase [EC:2.7.1.100];
[KOG1468]: Predicted translation initiation factor related to eIF-2B alpha/beta/delta subunits (CIG2/IDI2); [J];
[PTHR34273:SF2]: METHYLTHIORIBOSE KINASE;
[PTHR34273]: METHYLTHIORIBOSE KINASE;
[PF01008]: Initiation factor 2 subunit family;
[PF01636]: Phosphotransferase enzyme family"
"Mprrb_Veg.Up"	6	"Mp1g02880"	""	""	"[K07195]: EXOC7, EXO70; exocyst complex component 7;
[KOG2344]: Exocyst component protein and related proteins; [U];
[PTHR12542]: EXOCYST COMPLEX PROTEIN EXO70;
[PTHR12542:SF90]: OS08G0519900 PROTEIN;
[PF03081]: Exo70 exocyst complex subunit"
"Mprrb_Veg.Up"	7	"Mp1g02990"	""	""	""
"Mprrb_Veg.Up"	8	"Mp1g03740"	""	""	""
"Mprrb_Veg.Up"	9	"Mp1g04200"	""	""	"[K09873]: TIP; aquaporin TIP;
[KOG0223]: Aquaporin (major intrinsic protein family); [G];
[PTHR45665]: AQUAPORIN-8;
[PTHR45665:SF2]: AQUAPORIN TIP1-1;
[PF00230]: Major intrinsic protein"
"Mprrb_Veg.Up"	10	"Mp1g04680"	"MpCYP716"	"Mp1g04680 [MpCYP716]"	"[KOG0157]: Cytochrome P450 CYP4/CYP19/CYP26 subfamilies; [QI];
[PTHR24286:SF209]: BETA-AMYRIN 28-OXIDASE-LIKE ISOFORM X1;
[PTHR24286]: CYTOCHROME P450 26;
[PF00067]: Cytochrome P450"
"Mprrb_Veg.Up"	11	"Mp1g05070"	""	""	"[K22683]: APF2; aspartyl protease family protein [EC:3.4.23.-];
[KOG1339]: Aspartyl protease; [O];
[PTHR47967]: OS07G0603500 PROTEIN-RELATED;
[PTHR47967:SF28]: ASPARTYL PROTEASE FAMILY PROTEIN 2;
[PF14543]: Xylanase inhibitor N-terminal;
[PF14541]: Xylanase inhibitor C-terminal"
"Mprrb_Veg.Up"	12	"Mp1g05150"	""	""	"[KOG4441]: Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes; N-term missing; [TR];
[PTHR46301]: F-BOX/KELCH-REPEAT PROTEIN;
[PF08268]: F-box associated domain;
[PF00646]: F-box domain"
"Mprrb_Veg.Up"	13	"Mp1g07250"	"MpPLATZ2"	"Mp1g07250 [MpPLATZ2]"	"[PTHR31065]: PLATZ TRANSCRIPTION FACTOR FAMILY PROTEIN;
[PTHR31065:SF48]: PLATZ TRANSCRIPTION FACTOR FAMILY PROTEIN;
[PF04640]: PLATZ transcription factor"
"Mprrb_Veg.Up"	14	"Mp1g07620"	""	""	"[PTHR33021]: BLUE COPPER PROTEIN;
[PTHR33021:SF393]: OS08G0138100 PROTEIN;
[PF02298]: Plastocyanin-like domain"
"Mprrb_Veg.Up"	15	"Mp1g08000"	""	""	"[PTHR36330]: LIPASE/LIPOOXYGENASE, PLAT/LH2 FAMILY PROTEIN"
"Mprrb_Veg.Up"	16	"Mp1g08060"	""	""	""
"Mprrb_Veg.Up"	17	"Mp1g08440"	""	""	"[K01305]: iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-];
[PTHR11647]: HYDRANTOINASE/DIHYDROPYRIMIDINASE FAMILY MEMBER;
[PTHR11647:SF1]: COLLAPSIN RESPONSE MEDIATOR PROTEIN;
[PF01979]: Amidohydrolase family"
"Mprrb_Veg.Up"	18	"Mp1g08550"	""	""	"[PF07839]: Plant calmodulin-binding domain"
"Mprrb_Veg.Up"	19	"Mp1g08790"	"MpRLK-Pelle_L-LEC1"	"Mp1g08790 [MpRLK-Pelle_L-LEC1]"	"[KOG1187]: Serine/threonine protein kinase; [T];
[PTHR27007];
[PTHR27007:SF265]: L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE VIII.1;
[PF00069]: Protein kinase domain;
[PF00139]: Legume lectin domain"
"Mprrb_Veg.Up"	20	"Mp1g09370"	""	""	"[KOG4441]: Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes; N-term missing; [TR];
[PTHR46122]: GALACTOSE OXIDASE/KELCH REPEAT PROTEIN-RELATED;
[PTHR46122:SF8];
[PF01344]: Kelch motif"
"Mprrb_Veg.Up"	21	"Mp1g09610"	""	""	"[K01711]: gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47];
[KOG1372]: GDP-mannose 4,6 dehydratase; [G];
[PTHR43715]: GDP-MANNOSE 4,6-DEHYDRATASE;
[PTHR43715:SF6]: BNAC01G23490D PROTEIN;
[PF16363]: GDP-mannose 4,6 dehydratase"
"Mprrb_Veg.Up"	22	"Mp1g09620"	""	""	"[KOG4178]: Soluble epoxide hydrolase; [I];
[PTHR43329:SF58]: OS05G0273800 PROTEIN;
[PTHR43329]: EPOXIDE HYDROLASE;
[PTHR43689]: HYDROLASE;
[PTHR43689:SF39]: EPOXIDE HYDROLASE;
[PF12697]: Alpha/beta hydrolase family"
