"MpTak_v6.1"	"Name"	"product"	"MPGENES"	"annots"
"Mp1g00070"	""	""	""	"[K10683]: BARD1; BRCA1-associated RING domain protein 1;
[KOG4362]: Transcriptional regulator BRCA1; [LK];
[KOG0311]: Predicted E3 ubiquitin ligase; C-term missing; [O];
[PTHR13763]: BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN BRCA1;
[PF13771]: PHD-like zinc-binding domain;
[PF13923]: Zinc finger, C3HC4 type (RING finger);
[PF00533]: BRCA1 C Terminus (BRCT) domain"
"Mp1g00080"	""	""	""	"[K01599]: hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37];
[KOG2872]: Uroporphyrinogen decarboxylase; [H];
[PTHR21091:SF172]: UROPORPHYRINOGEN DECARBOXYLASE 2, CHLOROPLASTIC;
[PTHR21091]: METHYLTETRAHYDROFOLATE:HOMOCYSTEINE METHYLTRANSFERASE RELATED;
[PF01208]: Uroporphyrinogen decarboxylase (URO-D)"
"Mp1g00090"	"MpATG14"	"Autophagy protein"	"[MpATG14]: Autophagy protein"	"[KOG2896]: UV radiation resistance associated protein; [R];
[PTHR15157:SF18]: DNA-DIRECTED RNA POLYMERASE II PROTEIN;
[PTHR15157]: UV RADIATION RESISTANCE-ASSOCIATED GENE PROTEIN;
[PF10186]: Vacuolar sorting 38 and autophagy-related subunit 14"
"Mp1g00100"	"MpRRT2"	"RG-I rhamnosyltransferases"	"[MpRRT2]: RG-I rhamnosyltransferases"	"[PTHR31741]: OS02G0726500 PROTEIN-RELATED;
[PTHR31741:SF1]: O-FUCOSYLTRANSFERASE 7;
[PF10250]: GDP-fucose protein O-fucosyltransferase"
"Mp1g00110"	""	""	""	"[KOG2858]: Uncharacterized conserved protein; C-term missing; [R];
[PTHR13483:SF3]: BOX C/D SNORNA PROTEIN 1;
[PTHR13483]: UNCHARACTERIZED"
"Mp1g00120"	""	""	""	"[K00942]: E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8];
[KOG0707]: Guanylate kinase; [F];
[PTHR23117:SF13]: GUANYLATE KINASE;
[PTHR23117]: GUANYLATE KINASE-RELATED;
[PF00625]: Guanylate kinase"
"Mp1g00140"	""	""	""	"[KOG1901]: Uncharacterized high-glucose-regulated protein; [R];
[PTHR12357:SF89]: EVOLUTIONARILY CONSERVED C-TERMINAL REGION 5;
[PTHR12357]: YTH  YT521-B HOMOLOGY  DOMAIN-CONTAINING;
[PF04146]: YT521-B-like domain"
"Mp1g00160"	""	""	""	"[PTHR31906];
[PTHR31906:SF14]: PLASTID-LIPID-ASSOCIATED PROTEIN 4, CHLOROPLASTIC-RELATED;
[PF04755]: PAP_fibrillin"
"Mp1g00180"	""	""	""	"[K00261]: GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3];
[KOG2250]: Glutamate/leucine/phenylalanine/valine dehydrogenases; [E];
[PTHR11606:SF13]: GLUTAMATE DEHYDROGENASE 1, MITOCHONDRIAL;
[PTHR11606]: GLUTAMATE DEHYDROGENASE;
[PF00208]: Glutamate/Leucine/Phenylalanine/Valine dehydrogenase;
[PF02812]: Glu/Leu/Phe/Val dehydrogenase, dimerisation domain"
"Mp1g00190"	"MpCE8.1"	"Cell wall related protein"	"[MpCE8.1]: Cell wall related protein"	"[K01051]: E3.1.1.11; pectinesterase [EC:3.1.1.11];
[PTHR31321]: ACYL-COA THIOESTER HYDROLASE YBHC-RELATED;
[PTHR31321:SF12]: PECTINESTERASE 31;
[PF01095]: Pectinesterase"
"Mp1g00210"	"MpRLK-Pelle_SD-2b"	"Receptor-like Kinase (RLK)"	"[MpRLK-Pelle_SD-2b]: Receptor-like Kinase (RLK)"	"[KOG1164]: Casein kinase (serine/threonine/tyrosine protein kinase); [T];
[PTHR47974]: OS07G0415500 PROTEIN;
[PF00187]: Chitin recognition protein;
[PF00069]: Protein kinase domain"
"Mp1g00220"	""	""	""	"[KOG1398]: Uncharacterized conserved protein; [S];
[PTHR12459:SF17]: BNAC03G16050D PROTEIN;
[PTHR12459]: UNCHARACTERIZED;
[PF15982]: N-terminal cysteine-rich region of Transmembrane protein 135"
"Mp1g00230"	""	""	""	"[PTHR21419];
[PTHR21419:SF32]: PROTEIN DEFECTIVE IN EXINE FORMATION 1;
[PF13517]: Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella"
"Mp1g00240"	""	""	""	"[K00965]: galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12];
[KOG2958]: Galactose-1-phosphate uridylyltransferase; [C];
[PTHR42763]: ADP-GLUCOSE PHOSPHORYLASE;
[PF01087]: Galactose-1-phosphate uridyl transferase, N-terminal domain"
"Mp1g00250"	""	""	""	"[K03943]: NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2];
[KOG3196]: NADH:ubiquinone oxidoreductase, NDUFV2/24 kD subunit; [C];
[PTHR10371]: NADH DEHYDROGENASE  UBIQUINONE  FLAVOPROTEIN 2, MITOCHONDRIAL;
[PF01257]: Thioredoxin-like [2Fe-2S] ferredoxin"
"Mp1g00270"	"MpLOG"	"Hormone related protein, cytokinin related protein, cytokinin related protein biosynthesis"	"[MpLOG]: Hormone related protein, cytokinin related protein, cytokinin related protein biosynthesis"	"[K22522]: LOG; cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-];
[PTHR31223]: LOG FAMILY PROTEIN YJL055W;
[PTHR31223:SF41]: CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOGL2-RELATED;
[PF03641]: Possible lysine decarboxylase"
"Mp1g00290"	""	""	""	"[K10858]: PMS2; DNA mismatch repair protein PMS2;
[KOG1977]: DNA mismatch repair protein - MLH3 family; [L];
[PTHR10073:SF52]: MISMATCH REPAIR ENDONUCLEASE PMS2-RELATED;
[PTHR10073]: DNA MISMATCH REPAIR PROTEIN  MLH, PMS, MUTL;
[PF08676]: MutL C terminal dimerisation domain;
[PF13589]: Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;
[PF01119]: DNA mismatch repair protein, C-terminal domain"
"Mp1g00310"	""	""	""	"[PTHR33133]: OS08G0107100 PROTEIN-RELATED"
"Mp1g00320"	"MpACOS14"	"Acyl-CoA synthase, Secondary metabolism enzyme"	"[MpACOS14]: Acyl-CoA synthase, Secondary metabolism enzyme"	"[KOG1176]: Acyl-CoA synthetase; [I];
[PTHR43859]: ACYL-ACTIVATING ENZYME;
[PTHR43859:SF5]: ACYL-ACTIVATING ENZYME 2-RELATED;
[PF00501]: AMP-binding enzyme;
[PF13193]: AMP-binding enzyme C-terminal domain"
"Mp1g00330"	""	""	""	"[K13960]: UBE2T, HSPC150; ubiquitin-conjugating enzyme E2 T [EC:2.3.2.23];
[KOG0417]: Ubiquitin-protein ligase; [O];
[PTHR24068:SF278]: UBIQUITIN-CONJUGATING ENZYME E2 T;
[PTHR24068]: UBIQUITIN-CONJUGATING ENZYME E2;
[PF00179]: Ubiquitin-conjugating enzyme"
"Mp1g00340"	"MpDRMa"	"DOMAINS REARRANGED METHYLASE, DNA (cytosine-5-)-methyltransferase"	"[MpDRMa]: DOMAINS REARRANGED METHYLASE, DNA (cytosine-5-)-methyltransferase"	"[PTHR23068:SF25]: DNA (CYTOSINE-5)-METHYLTRANSFERASE DRM1;
[PTHR23068]: DNA  CYTOSINE-5- -METHYLTRANSFERASE 3-RELATED;
[PF00145]: C-5 cytosine-specific DNA methylase"
"Mp1g00350"	""	""	""	"[PTHR35295]: DNA LIGASE-LIKE PROTEIN;
[PTHR35295:SF1]: DNA LIGASE-LIKE PROTEIN"
"Mp1g00360"	""	""	""	"[PTHR34574]: CALCIUM-BINDING EF-HAND FAMILY PROTEIN-RELATED;
[PTHR34574:SF2]: CALCIUM-BINDING EF-HAND FAMILY PROTEIN"
"Mp1g00370"	""	""	""	"[K13254]: SPAST; spastin [EC:5.6.1.1];
[KOG0740]: AAA+-type ATPase; [O];
[PTHR23074:SF86]: SPASTIN;
[PTHR23074]: AAA DOMAIN-CONTAINING;
[PF00004]: ATPase family associated with various cellular activities (AAA);
[PF17862]: AAA+ lid domain;
[PF09336]: Vps4 C terminal oligomerisation domain"
"Mp1g00380"	""	""	""	"[K13963]: SERPINB; serpin B;
[KOG2392]: Serpin; [V];
[PTHR11461]: SERINE PROTEASE INHIBITOR, SERPIN;
[PTHR11461:SF326]: SERPIN-ZX-LIKE;
[PF00079]: Serpin (serine protease inhibitor)"
"Mp1g00390"	""	""	""	"[K19756]: RSPH4_6; radial spoke head protein 4/6;
[PTHR13159]: RADIAL SPOKEHEAD-RELATED;
[PTHR13159:SF0]: RADIAL SPOKE HEAD COMPONENT 4A;
[PF04712]: Radial spokehead-like protein"
"Mp1g00400"	""	""	""	"[K10688]: UBE2W, UBC16; ubiquitin-conjugating enzyme E2 W [EC:2.3.2.25];
[KOG0427]: Ubiquitin conjugating enzyme; [O];
[PTHR24068:SF341]: UBIQUITIN-CONJUGATING ENZYME E2 18-RELATED;
[PTHR24068]: UBIQUITIN-CONJUGATING ENZYME E2;
[PF00179]: Ubiquitin-conjugating enzyme"
