"Tag"	"No."	"Gene"	"Name"	"GeneName"	"annots"
"Mpcki1_Veg.Up"	1	"Mp1g00310"	""	""	"[PTHR33133]: OS08G0107100 PROTEIN-RELATED"
"Mpcki1_Veg.Up"	2	"Mp1g01450"	""	""	"[K01369]: LGMN; legumain [EC:3.4.22.34];
[KOG1348]: Asparaginyl peptidases; [O];
[PTHR12000]: HEMOGLOBINASE FAMILY MEMBER;
[PTHR12000:SF42]: VACUOLAR-PROCESSING ENZYME GAMMA-ISOZYME;
[PF01650]: Peptidase C13 family"
"Mpcki1_Veg.Up"	3	"Mp1g02920"	""	""	"[K02147]: ATPeV1B, ATP6B; V-type H+-transporting ATPase subunit B;
[KOG1351]: Vacuolar H+-ATPase V1 sector, subunit B; [C];
[PTHR43389:SF13]: V-TYPE PROTON ATPASE SUBUNIT B1-RELATED;
[PTHR43389]: V-TYPE PROTON ATPASE SUBUNIT B;
[PF02874]: ATP synthase alpha/beta family, beta-barrel domain;
[PF00006]: ATP synthase alpha/beta family, nucleotide-binding domain"
"Mpcki1_Veg.Up"	4	"Mp1g03590"	"MpGT29.1"	"Mp1g03590 [MpGT29.1]"	"[K00786]: GALT29A; beta-1,6-galactosyltransferase [EC:2.4.1.-];
[KOG2692]: Sialyltransferase; N-term missing; [G];
[PTHR46779]: BETA-1,6-GALACTOSYLTRANSFERASE GALT29A;
[PF00777]: Glycosyltransferase family 29 (sialyltransferase)"
"Mpcki1_Veg.Up"	5	"Mp1g03750"	""	""	""
"Mpcki1_Veg.Up"	6	"Mp1g03980"	""	""	"[K01915]: glnA, GLUL; glutamine synthetase [EC:6.3.1.2];
[KOG0683]: Glutamine synthetase; [E];
[PTHR20852]: GLUTAMINE SYNTHETASE;
[PTHR20852:SF95]: GLUTAMINE SYNTHETASE;
[PF03951]: Glutamine synthetase, beta-Grasp domain;
[PF00120]: Glutamine synthetase, catalytic domain"
"Mpcki1_Veg.Up"	7	"Mp1g05220"	"MpPAL9"	"Mp1g05220 [MpPAL9]"	"[K10775]: PAL; phenylalanine ammonia-lyase [EC:4.3.1.24];
[KOG0222]: Phenylalanine and histidine ammonia-lyase; [Q];
[PTHR10362]: HISTIDINE AMMONIA-LYASE;
[PTHR10362:SF54]: PHENYLALANINE AMMONIA-LYASE;
[PF00221]: Aromatic amino acid lyase"
"Mpcki1_Veg.Up"	8	"Mp1g05230"	""	""	"[K22213]: PATG; 6-methylsalicylate decarboxylase [EC:4.1.1.52];
[KOG4245]: Predicted metal-dependent hydrolase of the TIM-barrel fold; [R];
[PTHR21240]: 2-AMINO-3-CARBOXYLMUCONATE-6-SEMIALDEHYDE DECARBOXYLASE;
[PF04909]: Amidohydrolase"
"Mpcki1_Veg.Up"	9	"Mp1g05300"	""	""	"[K14207]: SLC38A2, SNAT2; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 2;
[KOG1305]: Amino acid transporter protein; [E];
[PTHR22950]: AMINO ACID TRANSPORTER;
[PTHR22950:SF643]: AMINO ACID TRANSPORTER AVT6A;
[PF01490]: Transmembrane amino acid transporter protein"
"Mpcki1_Veg.Up"	10	"Mp1g07460"	""	""	"[PTHR46483:SF4]: PHOSPHOLIPASE A1 PLIP2, CHLOROPLASTIC;
[PTHR46483]: PHOSPHOLIPASE A1 PLIP2, CHLOROPLASTIC;
[PF01764]: Lipase (class 3)"
"Mpcki1_Veg.Up"	11	"Mp1g08630"	""	""	"[PTHR35310]: CELL WALL INTEGRITY/STRESS RESPONSE COMPONENT-LIKE PROTEIN"
"Mpcki1_Veg.Up"	12	"Mp1g09600"	""	""	"[K01711]: gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47];
[KOG1372]: GDP-mannose 4,6 dehydratase; [G];
[PTHR43715:SF6]: BNAC01G23490D PROTEIN;
[PTHR43715]: GDP-MANNOSE 4,6-DEHYDRATASE;
[PF16363]: GDP-mannose 4,6 dehydratase"
"Mpcki1_Veg.Up"	13	"Mp1g11430"	""	""	"[KOG3378]: Globins and related hemoproteins; C-term missing; [C];
[PTHR22924:SF39]: NON-SYMBIOTIC HEMOGLOBIN 1;
[PTHR22924]: LEGHEMOGLOBIN-RELATED;
[PF00042]: Globin"
"Mpcki1_Veg.Up"	14	"Mp1g12090"	"MpGT47.1"	"Mp1g12090 [MpGT47.1]"	"[KOG1021]: Acetylglucosaminyltransferase EXT1/exostosin 1; [GMW];
[PTHR11062]: EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED;
[PTHR11062:SF323]: EXOSTOSIN-LIKE PROTEIN-RELATED;
[PF03016]: Exostosin family"
"Mpcki1_Veg.Up"	15	"Mp1g12430"	""	""	"[PTHR34674]: PHOSPHATIDYLCHOLINE:DIACYLGLYCEROL CHOLINEPHOSPHOTRANSFERASE 1-RELATED;
[PTHR34674:SF1]: PHOSPHATIDYLCHOLINE:DIACYLGLYCEROL CHOLINEPHOSPHOTRANSFERASE 1-RELATED"
"Mpcki1_Veg.Up"	16	"Mp1g14980"	"MpPOD4"	"Mp1g14980 [MpPOD4]"	"[K00430]: E1.11.1.7; peroxidase [EC:1.11.1.7];
[PTHR31235:SF205]: PEROXIDASE;
[PTHR31235]: PEROXIDASE 25-RELATED;
[PF00141]: Peroxidase"
